CallNumber,Algorithm,BestHost,TotalHosts,MEC_Hosts,MMEC_Hosts,BestHost_RAM,Total_RAM,BestHost_Disk,Total_Disk,BestHost_CPU,Total_CPU,Latency,BestHost_Latitude,BestHost_Longitude,UE_Latitude,UE_Longitude,Distance,ExecutionTime,std_Utilization
2,HHO,mmecHost[8],20,0,20,1.1100796328908927E9,2.0E9,4.920481769338797E10,1.0E11,2074.5129279942803,3000.0,1000000.0,5821.80582306546,7488.360208027685,7529.314,2608.674,5169.808667940616,3,0.0
3,HHO,mmecHost[8],20,0,20,1.3191517316054964E9,2.0E9,8.185909376681291E10,1.0E11,2277.347400141384,3000.0,1000000.0,5821.80582306546,7488.360208027685,7528.174,2612.215,5166.089860332112,2,0.0
4,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7526.963,2615.979,7968.595744032319,0,0.0
5,HHO,mmecHost[11],20,0,20,1.5014213418771195E9,2.0E9,5.0779606253533295E10,1.0E11,1318.509264985718,3000.0,1000000.0,7430.970528422775,2871.2695031976136,7530.0,2605.0,284.0885153855545,0,0.0
6,HHO,mmecHost[18],20,0,20,1.760061285735528E9,2.0E9,3.79596569255573E10,1.0E11,1596.5432548209596,3000.0,1000000.0,7959.191027532675,4678.849139000387,7525.752,2619.741,2104.2328100013337,1,0.0
7,HHO,mmecHost[15],20,0,20,1.7646110787923563E9,2.0E9,6.732079639980595E10,1.0E11,2626.875448626242,3000.0,1000000.0,8449.754782946495,3955.4011069333774,7529.654,2607.616,1631.9038406873633,0,0.0
8,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7524.541,2623.501,7968.781259244227,0,0.0
9,HHO,mmecHost[5],20,0,20,1.35851080921116E9,2.0E9,4.9079944051142166E10,1.0E11,1553.9948673001227,3000.0,1000000.0,6240.579139362918,8500.636257132912,7528.642,2610.763,6029.072309903244,1,0.0
10,HHO,mmecHost[20],20,0,20,1.5554842168109975E9,2.0E9,6.869070531434603E10,1.0E11,2178.9679572239334,3000.0,1000000.0,4668.295921547615,8567.03294759933,7523.327,2627.275,6590.29035285991,1,0.0
11,HHO,mmecHost[11],20,0,20,1.711230354613125E9,2.0E9,4.312442075026528E10,1.0E11,2377.485152168147,3000.0,1000000.0,7430.970528422775,2871.2695031976136,7527.433,2614.519,274.2732748829439,1,0.0
12,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7530.0,2605.0,7967.868284553906,0,0.0
13,HHO,mmecHost[3],20,0,20,1.7236054335294268E9,2.0E9,8.74053272357049E10,1.0E11,2546.9921182296985,3000.0,1000000.0,6515.347855697703,7418.983839014224,7522.119,2631.028,4892.65871008291,1,0.0
14,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7526.223,2618.278,7968.651851537561,0,0.0
15,HHO,mmecHost[2],20,0,20,1.3032713644807808E9,2.0E9,5.8406247982882996E10,1.0E11,1321.1567276447915,3000.0,1000000.0,5236.30028550732,7167.692208768915,7529.867,2606.956,5104.974342717563,1,0.0
16,HHO,mmecHost[8],20,0,20,1.243060475591448E9,2.0E9,7.035440750380852E10,1.0E11,2567.0681253159596,3000.0,1000000.0,5821.80582306546,7488.360208027685,7520.908,2634.788,5142.383823306311,1,0.0
17,HHO,mmecHost[13],20,0,20,1.5605143939919279E9,2.0E9,7.711241997533965E10,1.0E11,2661.4104211143836,3000.0,1000000.0,2282.0106838727456,8636.444637469127,7525.012,2622.039,7978.855680668283,1,0.0
18,HHO,mmecHost[11],20,0,20,1.3783635462346616E9,2.0E9,6.961253301411382E10,1.0E11,1915.0119737425973,3000.0,1000000.0,7430.970528422775,2871.2695031976136,7528.971,2609.741,279.2870394668228,1,0.0
19,HHO,mmecHost[6],20,0,20,8.676305177908534E8,2.0E9,6.280363256723895E10,1.0E11,1518.4796056470366,3000.0,1000000.0,9950.155382835163,6874.901660201538,7519.669,2638.541,4884.05729905479,1,0.0
20,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7523.8,2625.803,7968.839804815316,0,0.0
21,HHO,mmecHost[19],20,0,20,1.1796225710371416E9,2.0E9,6.3788496275588104E10,1.0E11,2015.2293388440473,3000.0,1000000.0,7322.337799259497,4970.367314953862,7527.774,2613.459,2365.844635151122,0,0.0
22,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7518.412,2642.294,7969.2055177526945,0,0.0
23,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7522.592,2629.558,7968.937549876269,0,0.0
24,HHO,mmecHost[8],20,0,20,1.7213931549767945E9,2.0E9,2.892651913291494E10,1.0E11,2224.2328238279397,3000.0,1000000.0,5821.80582306546,7488.360208027685,7526.559,2617.233,5160.820058000085,1,0.0
25,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7530.0,2606.0,7968.195278731565,0,0.0
26,HHO,mmecHost[5],20,0,20,1.6805678603609092E9,2.0E9,8.59399077017185E10,1.0E11,1490.521682927122,3000.0,1000000.0,6240.579139362918,8500.636257132912,7517.157,2646.04,5992.157238282675,1,0.0
27,HHO,mmecHost[7],20,0,20,1.5740128679019086E9,2.0E9,5.273721506356721E10,1.0E11,2647.4213710668027,3000.0,1000000.0,7362.043088190569,7623.132275419912,7521.384,2633.31,4992.365758480944,0,0.0
28,HHO,mecHost_null,20,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7525.348,2620.996,7968.719003272735,0,0.0
